ID,x,y,pop_sum,pop_mean,water_mean
125211,152.64,-89.28,0,0,0
125210,151.92,-89.28,0,0,0
125209,151.2,-89.28,0,0,0
125208,150.48,-89.28,0,0,0
125207,149.76,-89.28,0,0,0
125206,149.04,-89.28,0,0,0
125205,148.32,-89.28,0,0,0
125204,147.6,-89.28,0,0,0
125203,146.88,-89.28,0,0,0
125202,146.16,-89.28,0,0,0
125201,145.44,-89.28,0,0,0
125200,144.72,-89.28,0,0,0
125199,144,-89.28,0,0,0
125198,143.28,-89.28,0,0,0
125197,142.56,-89.28,0,0,0
125196,141.84,-89.28,0,0,0
125195,141.12,-89.28,0,0,0
125194,140.4,-89.28,0,0,0
125193,139.68,-89.28,0,0,0
125192,138.96,-89.28,0,0,0
125191,138.24,-89.28,0,0,0
125190,137.52,-89.28,0,0,0
125189,136.8,-89.28,0,0,0
125188,136.08,-89.28,0,0,0
125187,135.36,-89.28,0,0,0
125186,134.64,-89.28,0,0,0
125185,133.92,-89.28,0,0,0
125184,133.2,-89.28,0,0,0
125183,132.48,-89.28,0,0,0
125182,131.76,-89.28,0,0,0
125181,131.04,-89.28,0,0,0
125180,130.32,-89.28,0,0,0
125179,129.6,-89.28,0,0,0
125178,128.88,-89.28,0,0,0
125177,128.16,-89.28,0,0,0
125176,127.44,-89.28,0,0,0
125175,126.72,-89.28,0,0,0
125174,126,-89.28,0,0,0
125173,125.28,-89.28,0,0,0
125172,124.56,-89.28,0,0,0
125171,123.84,-89.28,0,0,0
125170,123.12,-89.28,0,0,0
125169,122.4,-89.28,0,0,0
125168,121.68,-89.28,0,0,0
125167,120.96,-89.28,0,0,0
125166,120.24,-89.28,0,0,0
125165,119.52,-89.28,0,0,0
125164,118.8,-89.28,0,0,0
125163,118.08,-89.28,0,0,0
125162,117.36,-89.28,0,0,0
125161,116.64,-89.28,0,0,0
125160,115.92,-89.28,0,0,0
125159,115.2,-89.28,0,0,0
125158,114.48,-89.28,0,0,0
125157,113.76,-89.28,0,0,0
125156,113.04,-89.28,0,0,0
125155,112.32,-89.28,0,0,0
125154,111.6,-89.28,0,0,0
125153,110.88,-89.28,0,0,0
125152,110.16,-89.28,0,0,0
125151,109.44,-89.28,0,0,0
125150,108.72,-89.28,0,0,0
125149,108,-89.28,0,0,0
125148,107.28,-89.28,0,0,0
125147,106.56,-89.28,0,0,0
125146,105.84,-89.28,0,0,0
125145,105.12,-89.28,0,0,0
125144,104.4,-89.28,0,0,0
125143,103.68,-89.28,0,0,0
125142,102.96,-89.28,0,0,0
125141,102.24,-89.28,0,0,0
125140,101.52,-89.28,0,0,0
125139,100.8,-89.28,0,0,0
125138,100.08,-89.28,0,0,0
125137,99.36,-89.28,0,0,0
125136,98.64,-89.28,0,0,0
125135,97.92,-89.28,0,0,0
125134,97.2,-89.28,0,0,0
125133,96.48,-89.28,0,0,0
125132,95.76,-89.28,0,0,0
125131,95.04,-89.28,0,0,0
125130,94.32,-89.28,0,0,0
125129,93.6,-89.28,0,0,0
125128,92.88,-89.28,0,0,0
125127,92.16,-89.28,0,0,0
125126,91.44,-89.28,0,0,0
125125,90.72,-89.28,0,0,0
125124,90,-89.28,0,0,0
125123,89.28,-89.28,0,0,0
125122,88.56,-89.28,0,0,0
125121,87.84,-89.28,0,0,0
125120,87.12,-89.28,0,0,0
125119,86.4,-89.28,0,0,0
125118,85.68,-89.28,0,0,0
125117,84.96,-89.28,0,0,0
125116,84.24,-89.28,0,0,0
125115,83.52,-89.28,0,0,0
125114,82.8,-89.28,0,0,0
125113,82.08,-89.28,0,0,0
125112,81.36,-89.28,0,0,0
125111,80.64,-89.28,0,0,0
125110,79.92,-89.28,0,0,0
125109,79.2,-89.28,0,0,0
125108,78.48,-89.28,0,0,0
125107,77.76,-89.28,0,0,0
125106,77.04,-89.28,0,0,0
125105,76.32,-89.28,0,0,0
125104,75.6,-89.28,0,0,0
125103,74.88,-89.28,0,0,0
125102,74.16,-89.28,0,0,0
125101,73.44,-89.28,0,0,0
125100,72.72,-89.28,0,0,0
125099,72,-89.28,0,0,0
125098,71.28,-89.28,0,0,0
125097,70.56,-89.28,0,0,0
125096,69.84,-89.28,0,0,0
125095,69.12,-89.28,0,0,0
125094,68.4,-89.28,0,0,0
125093,67.68,-89.28,0,0,0
125092,66.96,-89.28,0,0,0
125091,66.24,-89.28,0,0,0
125090,65.52,-89.28,0,0,0
125089,64.8,-89.28,0,0,0
125088,64.08,-89.28,0,0,0
